Type	Objet ID	Champ ID	Nom technique	Label actuel (EN)	Label FR (à modifier)	Description	Type de champ	Custom?	Actif?	Système?
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	25966dc3-d397-456d-a9d3-53e66331e121	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	c21a978b-61dd-4765-9437-f658cc46ae0a	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	e9ca3591-dfaa-4f5a-9ab4-5f9d72042993	displayName	Display Name		Display Name	TEXT	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	2db7d2ca-c3aa-42f9-acb7-deac8d4a474e	calendarEvent	Event ID		Event ID	RELATION	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	152ed33c-bca0-4f98-bc3e-36a0a6b33d7c	handle	Handle		Handle	TEXT	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	a8194e92-8823-493d-8923-5db425c015b3	isOrganizer	Is Organizer		Is Organizer	BOOLEAN	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	d7ced151-6a2a-47bd-af26-22855ca6bd89	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	2527bebf-6499-4265-b66d-8e7c4db1e202	person	Person	Contact	Person	RELATION	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	0b1e6001-c0ac-4c78-b2bf-789eda1b4767	responseStatus	Response Status		Response Status	SELECT	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	b0991ee8-d48d-4486-936e-91397f04dfe2	workspaceMember	Workspace Member		Workspace Member	RELATION	Non	Oui	Non
  champ	4e82bdd5-dd12-48bf-a2a5-23ca9ee75e51	45087c93-5f87-45da-b4f1-60931689840d	id	Id		Id	UUID	Non	Oui	Oui
OBJET	d9d6540b-8bf5-4100-b442-c9315939c807		noteTarget / noteTargets	Cible de note / Cible de notes	Cible de note / 	A note target		Non	Oui	
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	2cc90031-b668-4bf5-bef3-a5dcca0703da	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	2148f294-e1f1-4804-b94c-2b8bcb7799d1	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	6e97236b-0666-4d09-a303-07b0149729e8	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	69226049-7f95-4801-90b3-7855716e6dc3	note	Note		NoteTarget note	RELATION	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	aaca2b3a-4de5-4bc8-96b7-9dfc00d55295	targetPerson	Target		NoteTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	d6312722-c81b-4974-ab3e-57c4b7440bc1	targetOpportunity	Target		NoteTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	8aec8ebd-39ba-43ca-b129-b3ab984907cd	targetCompany	Target		NoteTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d9d6540b-8bf5-4100-b442-c9315939c807	36f2a431-910b-4566-ac96-f73a6c422bdf	id	Id		Id	UUID	Non	Oui	Oui
OBJET	d00ec0ab-f151-41b2-9022-407a253d2816		taskTarget / taskTargets	Cible de tâche / Cible de tâches	Cible de tâche / 	A task target		Non	Oui	
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	c793e23b-f4c1-47f5-a92f-8b9c5fa55876	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	7b75d91d-9e6e-49e3-ae0e-71ae79bffe9d	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	1179b709-10d3-49a5-a7fb-e273471c78fc	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	004d41b2-1a8f-4472-a26d-1a0224272317	targetCompany	Target		TaskTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	1d56f614-eeec-4815-a947-7b0da2f5bd48	targetOpportunity	Target		TaskTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	69f970c2-4cd1-4c95-bae1-e64b55987b9c	targetPerson	Target		TaskTarget target	MORPH_RELATION	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	51430d25-24db-42de-be93-91b249d9d164	task	Task		TaskTarget task	RELATION	Non	Oui	Non
  champ	d00ec0ab-f151-41b2-9022-407a253d2816	35e6ebe4-99ac-4296-bcde-7f914973d6cf	id	Id		Id	UUID	Non	Oui	Oui
OBJET	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1		connectedAccount / connectedAccounts	Compte connecté / Compte connectés		A connected account		Non	Oui	
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	1830baeb-f544-4962-8b9a-6e13cb7c7e65	accessToken	Access Token		Messaging provider access token	TEXT	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	8e2b5636-458c-4008-a03e-c78a8055c060	accountOwner	Account Owner	Responsable du compte	Account Owner	RELATION	Non	Oui	Non
  champ	79ddb7e3-fc44-4530-8f49-2c0ac226e5c1	319b1f94-cd0d-4fea-a8f1-8fc80eb0497e	authFailedAt	Auth failed at		Auth failed at	DATE_TIME	Non	Oui	Non
